rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
1,5114,Fullmetal Alchemist: Brotherhood,TV,64,2009,1327051,9.2
3,9253,Steins;Gate,TV,24,2011,1116166,9.1
4,28977,Gintama°,TV,51,2015,226008,9.1
5,11061,Hunter x Hunter (2011),TV,148,2011,818148,9.1
7,9969,Gintama',TV,51,2011,235640,9.1
8,35180,3-gatsu no Lion 2nd Season,TV,22,2017,114343,9.0
9,15417,Gintama': Enchousen,TV,13,2012,137790,9.0
12,4181,Clannad: After Story,TV,24,2008,650960,9.0
13,918,Gintama,TV,201,2006,498314,9.0
14,34096,Gintama.,TV,12,2017,107855,9.0
15,35247,Owarimonogatari 2nd Season,TV,7,2017,141174,9.0
16,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,2016,295729,8.9
17,2904,Code Geass: Hangyaku no Lelouch R2,TV,25,2008,856010,8.9
19,34599,Made in Abyss,TV,13,2017,419992,8.8
20,23273,Shigatsu wa Kimi no Uso,TV,22,2014,807181,8.8
21,28891,Haikyuu!! Second Season,TV,25,2015,380517,8.8
23,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,2017,86249,8.8
24,37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,2018,40008,8.8
25,36838,Gintama.: Shirogane no Tamashii-hen,TV,12,2018,57721,8.8
26,1,Cowboy Bebop,TV,26,1998,782426,8.8
27,37991,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,2018,101227,8.8
28,24701,Mushishi Zoku Shou 2nd Season,TV,10,2014,131321,8.8
29,263,Hajime no Ippo,TV,75,2000,253279,8.7
31,1575,Code Geass: Hangyaku no Lelouch,TV,25,2006,1066207,8.7
33,17074,Monogatari Series: Second Season,TV,26,2013,336334,8.7
34,21939,Mushishi Zoku Shou,TV,10,2014,159279,8.7
36,245,Great Teacher Onizuka,TV,43,1999,391454,8.7
37,457,Mushishi,TV,26,2005,440941,8.7
38,2001,Tengen Toppa Gurren Lagann,TV,27,2007,855664,8.7
39,33486,Boku no Hero Academia 2nd Season,TV,25,2017,739427,8.7
40,5258,Hajime no Ippo: New Challenger,TV,26,2009,137941,8.7
42,34591,Natsume Yuujinchou Roku,TV,11,2017,78936,8.7
44,11665,Natsume Yuujinchou Shi,TV,13,2012,141996,8.7
45,30276,One Punch Man,TV,12,2015,1160132,8.7
47,36456,Boku no Hero Academia 3rd Season,TV,25,2018,498348,8.7
48,19,Monster,TV,74,2004,388481,8.6
52,37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,2018,237167,8.6
53,1535,Death Note,TV,37,2006,1582700,8.6
54,34612,Saiki Kusuo no Ψ-nan 2,TV,24,2018,107950,8.6
55,12365,Bakuman. 3rd Season,TV,25,2012,197403,8.6
56,20583,Haikyuu!!,TV,25,2014,543119,8.6
57,19647,Hajime no Ippo: Rising,TV,25,2013,114417,8.6
58,7785,Yojouhan Shinwa Taikei,TV,11,2010,203746,8.6
59,30654,Ansatsu Kyoushitsu 2nd Season,TV,25,2016,444553,8.6
60,11741,Fate/Zero 2nd Season,TV,12,2012,543774,8.6
61,31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,2016,225927,8.6
62,10379,Natsume Yuujinchou San,TV,13,2011,148919,8.6
64,22135,Ping Pong the Animation,TV,11,2014,163629,8.6
65,30484,Steins;Gate 0,TV,23,2018,320577,8.6
66,2921,Ashita no Joe 2,TV,47,1980,15419,8.6
68,32983,Natsume Yuujinchou Go,TV,11,2016,89851,8.6
69,28735,Shouwa Genroku Rakugo Shinjuu,TV,13,2016,155576,8.6
72,35839,Sora yori mo Tooi Basho,TV,13,2018,156329,8.6
73,5300,Zoku Natsume Yuujinchou,TV,13,2009,156252,8.6
74,36259,Pingu in the City,TV,26,2017,26009,8.5
75,33352,Violet Evergarden,TV,13,2018,445197,8.5
76,3297,Aria The Origination,TV,13,2008,75640,8.5
77,6114,Rainbow: Nisha Rokubou no Shichinin,TV,26,2010,214256,8.5
78,35843,Gintama.: Porori-hen,TV,13,2017,66059,8.5
81,26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,2015,233391,8.5
82,33255,Saiki Kusuo no Ψ-nan,TV,120,2016,200196,8.5
85,12431,Uchuu Kyoudai,TV,99,2012,107262,8.5
86,31043,Boku dake ga Inai Machi,TV,12,2016,784095,8.5
87,801,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,2004,158944,8.5
88,170,Slam Dunk,TV,101,1993,126460,8.5
89,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,2011,721636,8.5
91,5028,Major S5,TV,25,2009,41502,8.5
92,21,One Piece,TV,4,2015,70638,8.5
94,24415,Kuroko no Basket 3rd Season,TV,25,2015,317534,8.5
95,10165,Nichijou,TV,26,2011,418260,8.5
96,35760,Shingeki no Kyojin Season 3,TV,12,2018,365628,8.5
97,28171,Shokugeki no Souma,TV,24,2015,686358,8.5
100,10162,Usagi Drop,TV,11,2011,290244,8.5
102,22535,Kiseijuu: Sei no Kakuritsu,TV,24,2014,751023,8.5
104,32182,Mob Psycho 100,TV,12,2016,569037,8.5
106,38262,Pingu in the City (2018),TV,26,2018,3898,8.5
107,205,Samurai Champloo,TV,26,2004,594203,8.5
109,5941,Cross Game,TV,50,2009,75949,8.4
111,17389,Kingdom 2nd Season,TV,39,2013,50190,8.4
112,877,Nana,TV,47,2006,281020,8.4
113,16498,Shingeki no Kyojin,TV,25,2013,1472352,8.4
114,392,Yuu☆Yuu☆Hakusho,TV,112,1992,301738,8.4
115,2251,Baccano!,TV,13,2007,517764,8.4
117,10030,Bakuman. 2nd Season,TV,25,2011,216402,8.4
118,14397,Chihayafuru 2,TV,25,2013,123157,8.4
120,35557,Houseki no Kuni,TV,12,2017,166686,8.4
121,136,Hunter x Hunter,TV,62,1999,252362,8.4
122,16894,Kuroko no Basket 2nd Season,TV,25,2013,383289,8.4
124,22789,Barakamon,TV,12,2014,358875,8.4
125,467,Ghost in the Shell: Stand Alone Complex,TV,26,2002,267528,8.4
127,33,Kenpuu Denki Berserk,TV,25,1997,322271,8.4
129,13125,Shinsekai yori,TV,25,2012,447697,8.4
130,7655,Major S6,TV,25,2010,36177,8.4
131,2246,Mononoke,TV,12,2007,138638,8.4
132,31181,Owarimonogatari,TV,12,2015,218819,8.4
133,35788,Shokugeki no Souma: San no Sara,TV,12,2017,310206,8.4
134,31646,3-gatsu no Lion,TV,22,2016,230158,8.4
137,9756,Mahou Shoujo Madoka★Magica,TV,12,2011,685852,8.4
140,13601,Psycho-Pass,TV,22,2012,819009,8.4
141,25777,Shingeki no Kyojin Season 2,TV,12,2017,757400,8.4
142,32282,Shokugeki no Souma: Ni no Sara,TV,13,2016,448354,8.4
145,31964,Boku no Hero Academia,TV,13,2016,923510,8.4
147,10087,Fate/Zero,TV,13,2011,724377,8.4
148,6594,Katanagatari,TV,12,2010,309978,8.4
151,2559,Romeo no Aoi Sora,TV,33,1995,24457,8.4
152,12531,Sakamichi no Apollon,TV,12,2012,207736,8.4
155,486,Kino no Tabi: The Beautiful World,TV,13,2003,159375,8.4
156,18115,Magi: The Kingdom of Magic,TV,25,2013,411430,8.4
157,5341,Ookami to Koushinryou II,TV,12,2009,294962,8.4
158,25835,Shirobako,TV,24,2014,247007,8.4
161,37105,Grand Blue,TV,12,2018,136800,8.4
162,5420,Kemono no Souja Erin,TV,50,2009,52859,8.4
165,37430,Tensei shitara Slime Datta Ken,TV,24,2018,196379,8.4
166,30230,Diamond no Ace: Second Season,TV,51,2015,63155,8.4
169,1698,Nodame Cantabile,TV,23,2007,210575,8.4
170,30503,Noragami Aragoto,TV,13,2015,615799,8.4
171,31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,2016,815015,8.4
173,28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,2015,373172,8.3
175,14719,JoJo no Kimyou na Bouken (TV),TV,26,2012,402435,8.3
176,4081,Natsume Yuujinchou,TV,13,2008,305775,8.3
177,19815,No Game No Life,TV,12,2014,1074522,8.3
178,5040,One Outs,TV,25,2008,126743,8.3
179,45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,1996,293509,8.3
185,4224,Toradora!,TV,25,2008,990414,8.3
188,627,Major S1,TV,26,2004,58602,8.3
189,1210,NHK ni Youkoso!,TV,24,2006,411792,8.3
190,36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,12,2018,212934,8.3
191,338,Versailles no Bara,TV,40,1979,48577,8.3
192,57,Beck,TV,26,2004,196471,8.3
194,32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,2017,496090,8.3
195,1842,Major S3,TV,26,2007,41635,8.3
196,5081,Bakemonogatari,TV,15,2009,722111,8.3
199,11771,Kuroko no Basket,TV,25,2012,524966,8.3
200,558,Major S2,TV,26,2005,43257,8.3
202,329,Planetes,TV,26,2003,148860,8.3
206,36296,Hinamatsuri,TV,12,2018,176517,8.3
