rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
1,5114,Fullmetal Alchemist: Brotherhood,TV,64,2,1327051,9.2
2,32281,Kimi no Na wa.,Movie,1,2,866945,9.1
3,9253,Steins;Gate,TV,24,2,1116166,9.1
4,28977,Gintama°,TV,51,2,226008,9.1
5,11061,Hunter x Hunter (2011),TV,148,2,818148,9.1
6,820,Ginga Eiyuu Densetsu,OVA,110,1,140128,9.1
7,9969,Gintama',TV,51,2,235640,9.1
8,35180,3-gatsu no Lion 2nd Season,TV,22,2,114343,9.0
9,15417,Gintama': Enchousen,TV,13,2,137790,9.0
10,28851,Koe no Katachi,Movie,1,2,621825,9.0
11,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,2,115581,9.0
12,4181,Clannad: After Story,TV,24,2,650960,9.0
13,918,Gintama,TV,201,2,498314,9.0
14,34096,Gintama.,TV,12,2,107855,9.0
15,35247,Owarimonogatari 2nd Season,TV,7,2,141174,9.0
16,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,2,295729,8.9
17,2904,Code Geass: Hangyaku no Lelouch R2,TV,25,2,856010,8.9
18,199,Sen to Chihiro no Kamikakushi,Movie,1,2,776195,8.9
19,34599,Made in Abyss,TV,13,2,419992,8.8
20,23273,Shigatsu wa Kimi no Uso,TV,22,2,807181,8.8
21,28891,Haikyuu!! Second Season,TV,25,2,380517,8.8
22,31758,Kizumonogatari III: Reiketsu-hen,Movie,1,2,159364,8.8
23,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,2,86249,8.8
24,37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,2,40008,8.8
25,36838,Gintama.: Shirogane no Tamashii-hen,TV,12,2,57721,8.8
26,1,Cowboy Bebop,TV,26,1,782426,8.8
27,37991,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,2,101227,8.8
28,24701,Mushishi Zoku Shou 2nd Season,TV,10,2,131321,8.8
29,263,Hajime no Ippo,TV,75,2,253279,8.7
30,164,Mononoke Hime,Movie,1,1,559548,8.7
31,1575,Code Geass: Hangyaku no Lelouch,TV,25,2,1066207,8.7
32,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,1,178868,8.7
33,17074,Monogatari Series: Second Season,TV,26,2,336334,8.7
34,21939,Mushishi Zoku Shou,TV,10,2,159279,8.7
35,12355,Ookami Kodomo no Ame to Yuki,Movie,1,2,395540,8.7
36,245,Great Teacher Onizuka,TV,43,1,391454,8.7
37,457,Mushishi,TV,26,2,440941,8.7
38,2001,Tengen Toppa Gurren Lagann,TV,27,2,855664,8.7
39,33486,Boku no Hero Academia 2nd Season,TV,25,2,739427,8.7
40,5258,Hajime no Ippo: New Challenger,TV,26,2,137941,8.7
41,431,Howl no Ugoku Shiro,Movie,1,2,526852,8.7
42,34591,Natsume Yuujinchou Roku,TV,11,2,78936,8.7
43,36098,Kimi no Suizou wo Tabetai,Movie,1,2,45042,8.7
44,11665,Natsume Yuujinchou Shi,TV,13,2,141996,8.7
45,30276,One Punch Man,TV,12,2,1160132,8.7
46,7311,Suzumiya Haruhi no Shoushitsu,Movie,1,2,349391,8.7
47,36456,Boku no Hero Academia 3rd Season,TV,25,2,498348,8.7
48,19,Monster,TV,74,2,388481,8.6
49,28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,2,63020,8.6
50,31757,Kizumonogatari II: Nekketsu-hen,Movie,1,2,164476,8.6
51,37208,Mo Dao Zu Shi,ONA,15,2,27418,8.6
52,37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,2,237167,8.6
53,1535,Death Note,TV,37,2,1582700,8.6
54,34612,Saiki Kusuo no Ψ-nan 2,TV,24,2,107950,8.6
55,12365,Bakuman. 3rd Season,TV,25,2,197403,8.6
56,20583,Haikyuu!!,TV,25,2,543119,8.6
57,19647,Hajime no Ippo: Rising,TV,25,2,114417,8.6
58,7785,Yojouhan Shinwa Taikei,TV,11,2,203746,8.6
59,30654,Ansatsu Kyoushitsu 2nd Season,TV,25,2,444553,8.6
60,11741,Fate/Zero 2nd Season,TV,12,2,543774,8.6
61,31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,2,225927,8.6
62,10379,Natsume Yuujinchou San,TV,13,2,148919,8.6
63,33674,No Game No Life: Zero,Movie,1,2,294828,8.6
64,22135,Ping Pong the Animation,TV,11,2,163629,8.6
65,30484,Steins;Gate 0,TV,23,2,320577,8.6
66,2921,Ashita no Joe 2,TV,47,1,15419,8.6
67,21329,Mushishi Special: Hihamukage,Special,1,2,73767,8.6
68,32983,Natsume Yuujinchou Go,TV,11,2,89851,8.6
69,28735,Shouwa Genroku Rakugo Shinjuu,TV,13,2,155576,8.6
70,4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,2,123888,8.6
71,4282,Kara no Kyoukai 5: Mujun Rasen,Movie,1,2,148129,8.6
72,35839,Sora yori mo Tooi Basho,TV,13,2,156329,8.6
73,5300,Zoku Natsume Yuujinchou,TV,13,2,156252,8.6
74,36259,Pingu in the City,TV,26,2,26009,8.5
