rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
1,5114,Fullmetal Alchemist: Brotherhood,TV,64,2009,1327051,9.24
2,32281,Kimi no Na wa.,Movie,1,2016,866945,9.15
3,9253,Steins;Gate,TV,24,2011,1116166,9.14
4,28977,Gintama°,TV,51,2015,226008,9.13
5,11061,Hunter x Hunter (2011),TV,148,2011,818148,9.11
6,820,Ginga Eiyuu Densetsu,OVA,110,1988,140128,9.1
7,9969,Gintama',TV,51,2011,235640,9.1
8,35180,3-gatsu no Lion 2nd Season,TV,22,2017,114343,9.05
9,15417,Gintama': Enchousen,TV,13,2012,137790,9.05
10,28851,Koe no Katachi,Movie,1,2016,621825,9.03
11,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,2013,115581,9.02
12,4181,Clannad: After Story,TV,24,2008,650960,9.0
13,918,Gintama,TV,201,2006,498314,9.0
14,34096,Gintama.,TV,12,2017,107855,9.0
15,35247,Owarimonogatari 2nd Season,TV,7,2017,141174,9.0
16,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,2016,295729,8.97
17,2904,Code Geass: Hangyaku no Lelouch R2,TV,25,2008,856010,8.94
18,199,Sen to Chihiro no Kamikakushi,Movie,1,2001,776195,8.91
19,34599,Made in Abyss,TV,13,2017,419992,8.89
20,23273,Shigatsu wa Kimi no Uso,TV,22,2014,807181,8.87
21,28891,Haikyuu!! Second Season,TV,25,2015,380517,8.86
22,31758,Kizumonogatari III: Reiketsu-hen,Movie,1,2017,159364,8.86
23,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,2017,86249,8.85
24,37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,2018,40008,8.84
25,36838,Gintama.: Shirogane no Tamashii-hen,TV,12,2018,57721,8.82
26,1,Cowboy Bebop,TV,26,1998,782426,8.81
27,37991,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,2014,131321,8.81
29,263,Hajime no Ippo,TV,75,2000,253279,8.79
30,164,Mononoke Hime,Movie,1,1997,559548,8.79
31,1575,Code Geass: Hangyaku no Lelouch,TV,25,2006,1066207,8.78
32,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,1999,178868,8.78
33,17074,Monogatari Series: Second Season,TV,26,2013,336334,8.77
34,21939,Mushishi Zoku Shou,TV,10,2014,159279,8.76
35,12355,Ookami Kodomo no Ame to Yuki,Movie,1,2012,395540,8.75
36,245,Great Teacher Onizuka,TV,43,1999,391454,8.73
37,457,Mushishi,TV,26,2005,440941,8.73
38,2001,Tengen Toppa Gurren Lagann,TV,27,2007,855664,8.73
39,33486,Boku no Hero Academia 2nd Season,TV,25,2017,739427,8.72
40,5258,Hajime no Ippo: New Challenger,TV,26,2009,137941,8.72
41,431,Howl no Ugoku Shiro,Movie,1,2004,526852,8.72
42,34591,Natsume Yuujinchou Roku,TV,11,2017,78936,8.72
43,36098,Kimi no Suizou wo Tabetai,Movie,1,2018,45042,8.71
44,11665,Natsume Yuujinchou Shi,TV,13,2012,141996,8.71
45,30276,One Punch Man,TV,12,2015,1160132,8.71
46,7311,Suzumiya Haruhi no Shoushitsu,Movie,1,2010,349391,8.71
47,36456,Boku no Hero Academia 3rd Season,TV,25,2018,498348,8.7
48,19,Monster,TV,74,2004,388481,8.69
49,28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,2015,63020,8.69
50,31757,Kizumonogatari II: Nekketsu-hen,Movie,1,2016,164476,8.68
51,37208,Mo Dao Zu Shi,ONA,15,2018,27418,8.67
52,37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,2018,237167,8.67
53,1535,Death Note,TV,37,2006,1582700,8.66
54,34612,Saiki Kusuo no Ψ-nan 2,TV,24,2018,107950,8.66
55,12365,Bakuman. 3rd Season,TV,25,2012,197403,8.65
56,20583,Haikyuu!!,TV,25,2014,543119,8.65
57,19647,Hajime no Ippo: Rising,TV,25,2013,114417,8.65
58,7785,Yojouhan Shinwa Taikei,TV,11,2010,203746,8.65
59,30654,Ansatsu Kyoushitsu 2nd Season,TV,25,2016,444553,8.64
60,11741,Fate/Zero 2nd Season,TV,12,2012,543774,8.64
61,31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,2016,225927,8.64
62,10379,Natsume Yuujinchou San,TV,13,2011,148919,8.64
63,33674,No Game No Life: Zero,Movie,1,2017,294828,8.64
64,22135,Ping Pong the Animation,TV,11,2014,163629,8.64
65,30484,Steins;Gate 0,TV,23,2018,320577,8.64
66,2921,Ashita no Joe 2,TV,47,1980,15419,8.63
67,21329,Mushishi Special: Hihamukage,Special,1,2014,73767,8.63
68,32983,Natsume Yuujinchou Go,TV,11,2016,89851,8.63
69,28735,Shouwa Genroku Rakugo Shinjuu,TV,13,2016,155576,8.62
70,4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,2009,123888,8.62
71,4282,Kara no Kyoukai 5: Mujun Rasen,Movie,1,2008,148129,8.61
72,35839,Sora yori mo Tooi Basho,TV,13,2018,156329,8.61
73,5300,Zoku Natsume Yuujinchou,TV,13,2009,156252,8.61
74,36259,Pingu in the City,TV,26,2017,26009,8.59
